oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
17819474,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40,142.6,9/19/2011,2011,20110919
17819475,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,142.8,9/21/2011,2011,20110921
17819476,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,143,9/21/2011,2011,20110921
17819477,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.10,143,9/21/2011,2011,20110921
17819478,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.29,143,8/15/2011,2011,20110815
17819479,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.39,142.6,9/28/2011,2011,20110928
17819480,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,142.3,8/3/2011,2011,20110803
17819482,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,142.5,9/12/2011,2011,20110912
17819483,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,142.5,9/12/2011,2011,20110912
17819484,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41,142.6,9/14/2011,2011,20110914
17819486,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40,143.4,9/19/2011,2011,20110919
17819488,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.20,143.3,8/10/2011,2011,20110810
17819491,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.29,143.0,8/15/2011,2011,20110815
17819498,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40,143.6,8/4/2011,2011,20110804
17819502,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.20,143.6,8/14/2011,2011,20110814
17819510,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.39,143.5,8/9/2011,2011,20110809
17819511,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.5,144,7/31/2011,2011,20110731
17819512,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,143.1,11/6/2011,2011,20111106
17819513,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,143.1,9/24/2011,2011,20110924
17819514,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,143.1,9/24/2011,2011,20110924
17819515,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,143.3,9/24/2011,2011,20110924
17819516,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,143.4,8/10/2011,2011,20110810
17819520,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,143.4,8/10/2011,2011,20110810
17819521,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,143.5,11/2/2011,2011,20111102
17819522,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.60,143.6,8/9/2011,2011,20110809
17819524,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.5,144,7/31/2011,2011,20110731
17819525,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,143.8,10/21/2011,2011,20111021
17819526,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,143.6,8/5/2011,2011,20110805
17819527,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,143.6,8/5/2011,2011,20110805
17819530,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,143.8,8/5/2011,2011,20110805
17819532,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,143.9,8/5/2011,2011,20110805
